int n.整数
float n.单精度浮点数
double n.双精度浮点数
bool n.布尔
long n.长整型
short n.短整型
unsigned adj.无符号的
mutable adj.可变的；多变的
volatile adj.无常的；可变的
class n.类
struct n.结构体
header n.头文件
function n.函数
method n.方法
return v.返回
time n.时间
nullptr n.空指针
string n.字符串
char n.字符
byte n.字节
array n.数组
tuple n.元组
thread n.线程
main n.主函数
if conj.如果
else adv.否则
while conj.条件循环
const adj.&n.常量
pointer n.指针
reference n.引用
lvalue n.左值
rvalue n.右值
namespace n.命名空间
variable n.变量
bit n.位
void adj.&n.空
directory n.目录
file n.文件
new v.新发配
delete v.删除
set v.设置
get v.获取
error n.错误
break v.强制退出循环
continue v.进入下一轮循环
exit v.退出
public adj.公有的
private adj.私有的
protected adj.受保护的
enum n.枚举量
auto n&adj.自动
register n.寄存器
extern adj.外部的
inline adj.内联的
constexpr n.常量表达式
template n.模板
type n.类型
typename n.类型名
map n.映射
argument n.参数
address n.地址
iterator n.迭代器
catch v.捕获（异常）
throw v.抛出（异常）
exception n.异常
true n.真
false n.假
union n.联合体
final adj.最终的
override v.覆写
