getcwd() 获取当前目录
exit() 正常退出
abort()  不正常退出
main() 主函数
CreateDirectory() 创建新目录
DeleteFile()  删除文件(WINAPI)
TerminateProcess() 终止进程
OpenProcess() 打开进程
CloseHandle() 关闭句柄
strlen() 获得ANSI字符串长度
strcpy() （废弃的函数）复制ANSI字符串
strcpy_s() 安全复制ANSI字符串
strcmp() 比较ANSI字符串
strncmp() 根据前n位比较ANSI字符串
ShellExecute() 异步执行程序
system() 调用CMD同步执行命令
atoi() 字符串（指针）转整数
itoa() 整数转字符串（指针）
MessageBox() 弹出对话框
fopen() 打开文件返回FILE*
freopen() 通过FILE*重定向文件
fprintf() 通过FILE*写入格式化字符串
fscanf() 通过FILE*读取格式化字符串
fclose() 通过FILE*关闭文件
ReadFile() 通过HANDLE读取文件
WriteFile() 通过HANDLE写入文件
RemoveDirectory() 移除空目录
rename() 重命名文件
remove() 删除文件(库函数)
CreatePipe() 创建管道
PeekNamedPipe() 窥看命名管道数据
CreateFile() 创建/打开文件(WINAPI)
CreateThread() 创建线程
SuspendThread() 挂起进程
ResumeThread() 恢复进程
CloseWindow() 最小化窗口
ShowWindow() 改变窗口显示方式
IsWindowVisible() 判断窗口是否可见
GetConsoleWindow() 获取控制台窗口
CreateWindow() 创建窗口
LockWindowUpdate() 锁定窗口更新
UpdateWindow() 更新窗口
PostMessage() 向进程发送消息
SetWindowText() 设置窗口标题
GetWindowText() 获取窗口标题
IsWindowEnabled() 判断窗口是否激活
EnableWindow() 激活/冻结窗口
SwitchToThisWindow() 切换到这个窗口
GetCursorPos() 获取鼠标坐标
SetCursorPos() 设置鼠标坐标
ClipCursor() 限制鼠标活动区域
BlockInput() 屏蔽输入
keybd_event() 虚拟键盘按键
mouse_event() 虚拟鼠标按键
ReadConsoleInput() 读取控制台输入(WINAPI)
FreeConsole() 释放控制台
AttachConsole() 将进程附加到控制台上
AllocConsole() 发配新控制台
LockWorkStation() 锁定用户
GetLastError() 获取上一个Windows错误
SetLastError() 设置上一个Windows错误
SetWindowPos() 设置窗口位置或次序
MoveWindow() 移动窗口
OpenClipboard() 打开剪贴板
CloseClipboard() 关闭剪贴板
GetClipboardSequenceNumber() 获取剪贴板序列号
GetClipboardOwner() 获取剪贴板归属窗口
ChangeClipboardChain() 改变剪贴板链
SetClipboardData() 设置剪贴板数据
GetClipboardData() 获取剪贴板数据
RegisterClipboardFormat() 注册剪贴板数据类型
CountClipboardFormats() 获取剪贴板现有格式数量
EnumClipboardFormats() 枚举剪贴板格式
GetClipboardFormatName() 获取剪贴板格式名称
EmptyClipboard() 清空剪贴板
IsClipboardFormatAvailable() 判断该类型剪贴板是否存在
GetOpenClipboardWindow() 获取打开剪贴板窗口句柄
SetFocus() 设置窗口焦点
GetFocus() 获取焦点窗口
GetKBCodePage() 获取键盘代码页
GetKeyNameText() 获取键名称
ToAscii() 键字节码转ASCII字符
ToUnicode() 键字节码转Unicode
IsWindowUnicode() 判断窗口是否使用Unicode
LoadMenu() 加载菜单
GetMenu() 获取窗口菜单句柄
SetMenu() 设置窗口菜单
ChangeMenu() 改变窗口菜单
HiliteMenuItem() 高亮窗口菜单项
GetMenuString() 获取菜单上的字符串
DrawMenuBar() 绘画窗口菜单栏
CreateMenu() 创建菜单
CreatePopupMenu() 创建弹出的菜单
DestroyMenu() 销毁菜单
CheckMenuItem() 检查菜单项
EnableMenuItem() 设置菜单项激活状态
GetSubMenu() 获取子菜单
GetMenuItemID() 获取菜单项ID
GetMenuItemCount() 获取菜单项数量
InsertMenu() 插入菜单
AppendMenu() 追加菜单
ModifyMenu() 更改菜单
RemoveMenu() 移除菜单
DeleteMenu() 删除菜单
InsertMenuItem() 插入菜单项
GetMenuItemInfo() 获取菜单项信息
SetMenuItemInfo() 设置菜单项信息
MenuItemFromPoint() 根据点获取菜单项
GetMenuItemRect() 获取菜单项矩形区域
DrawText() 画文字
GrayString() 灰化字符串
PaintDesktop() 画桌面壁纸
GetDC() 获取窗口设备句柄
WindowFromDC() 获取设备窗口句柄
GetWindowDC() 获取窗口的设备句柄
ReleaseDC() 释放设备句柄
BeginPaint() 开始绘画
EndPaint() 结束绘画
RedrawWindow() 重画窗口
ScrollWindow() 滚动窗口
GetClientRect() 获取窗口客户区域
GetWindowRect() 获取窗口区域
AdjustWindowRect() 调整窗口区域
GetClipCursor() 获取鼠标限制区域
WindowFromPoint() 根据点获取窗口句柄
FindWindow() 根据类名/标题名查找窗口句柄
ChildWindowFromPoint() 根据点获取子窗口句柄
GetDesktopWindow() 获取桌面窗口
GetParent() 获取窗口父窗口
SetParent() 设置窗口父窗口
EnumWindows() 枚举窗口
GetTopWindow() 获取顶部窗口
GetWindowThreadProcessId() 获取窗口线程进程ID
