stone 石头
granite 花岗岩
polished_granite 磨制花岗岩
diorite 闪长岩
polished_diorite 磨制闪长岩
andesite 安山岩
polished_andesite 磨制安山岩
deepslate 深板岩
cobbled_deepslate 深板岩圆石
polished_deepslate 磨制深板岩
calcite 方解石
tuff 凝灰岩
dripstone_block 滴水石块
grass_block 草方块
dirt 泥土
coarse_dirt 砂土
podzol 灰化土
rooted_dirt 缠根泥土
mud 泥巴
crimson_nylium 绯红菌岩
warped_nylium 诡异菌岩
cobblestone 圆石
oak_planks 橡木木板
spruce_planks 云杉木板
birch_planks 白桦木板
jungle_planks 丛林木板
acacia_planks 金合欢木板
dark_oak_planks 深色橡木木板
mangrove_planks 红树木板
crimson_planks 绯红木板
warped_planks 诡异木板
bedrock 基岩
sand 沙子
red_sand 红沙
gravel 沙砾
coal_ore 煤矿石
deepslate_coal_ore 深层煤矿石
iron_ore 铁矿石
deepslate_iron_ore 深层铁矿石
copper_ore 铜矿石
deepslate_copper_ore 深层铜矿石
gold_ore 金矿石
deepslate_gold_ore 深层金矿石
redstone_ore 红石矿石
deepslate_redstone_ore 深层红石矿石
emerald_ore 绿宝石矿石
deepslate_emerald_ore 深层绿宝石矿石
lapis_ore 青金石矿石
deepslate_lapis_ore 深层青金石矿石
diamond_ore 钻石矿石
deepslate_diamond_ore 深层钻石矿石
nether_gold_ore 下界金矿石
nether_quartz_ore 下界石英矿石
ancient_debris 远古残骸
coal_block 煤炭块
raw_iron_block 粗铁块
raw_copper_block 粗铜块
raw_gold_block 粗金块
amethyst_block 紫水晶块
budding_amethyst 紫水晶母岩
iron_block 铁块
copper_block 铜块
gold_block 金块
diamond_block 钻石块
netherite_block 下界合金块
exposed_copper 斑驳的铜块
weathered_copper 锈蚀的铜块
oxidized_copper 氧化的铜块
cut_copper 切制铜块
exposed_cut_copper 斑驳的切制铜块
weathered_cut_copper 锈蚀的切制铜块
oxidized_cut_copper 氧化的切制铜块
cut_copper_stairs 切制铜楼梯
exposed_cut_copper_stairs 斑驳的切制铜楼梯
weathered_cut_copper_stairs 锈蚀的切制铜楼梯
oxidized_cut_copper_stairs 氧化的切制铜楼梯
cut_copper_slab 切制铜台阶
exposed_copper_slab 斑驳的切制铜台阶
weathered_copper_slab 锈蚀的切制铜台阶
oxidized_copper_slab 氧化的切制铜台阶
waxed_copper_block 涂蜡铜块
exposed_waxed_copper_block 斑驳的涂蜡铜块
weathered_waxed_copper_block 锈蚀的涂蜡铜块
oxidized_waxed_copper_block 氧化的涂蜡铜块
waxed_cut_copper 涂蜡切制铜块
waxed_exposed_cut_copper 斑驳的涂蜡切制铜块
