apricity n.冬阳
chinwag v.闲谈；聊天
gamut n.音域；全范围
loom v.豁然耸现；迫在眉睫
hysteria n.歇斯底里
gallivant v.游荡，闲逛
homage n.宣誓效忠；敬意
hitherto adv.迄今
innate adj.天生的
hyacinth n.风信子；紫蓝色
ecru adj.淡褐色的
gait n.步态；步法
fauna n.动物群
idyll n.田园景致
hermit n.隐士
empress n.女皇
fiesta n.宗教节日
cloister n.修道院；隐居地
baptize v.给…洗礼；命名
guerilla n.游击队员
holocaust n.大屠杀
holster n.手枪套
ken n.认知范围；视野
kiosk n.凉亭；报摊
laud v.赞美
laudable adj.值得表扬的
muckrake v.搜集并揭发名人的丑事
pararazzi n.狗仔队
rivet v&n.铆钉
trance n.恍惚，出神
duress n.强迫，胁迫
forlorn adj.被遗弃的；荒凉的
inshore adj/adv.靠近/向着海岸的（地）
edgeways adv.刀刃向前地
envisage v.想象，设想
equidistant adj.<表>等距离的
feint n.佯攻；伪装
nostrum n.售药者自制药
hulk n.废船船体
fief n.封地，采邑
dulcet adj.悦耳的；好看的
chum n.好友
byplay n.穿插动作；辅助情节
ambidextrous adj.左右手均可灵活使用的
diplomacy n.外交手腕，交际手段
galore adj.<后定>大量的，丰富的
hatchet n.短柄小斧
labyrinth n.囚禁牛头人的迷宫
lunarnaut n.登月宇航员
mentor n.良师益友
piety n.(对神鬼的)虔诚；虔诚行为
hilarity n.欢闹
nostalgia n.怀旧；怀乡病
reign n.君王在位期；统治
rejuvenate v.使返老还童
surtax n.附加税
mahogany n.桃花心木（材）
