science 科学
scientist 科学家
research 研究
technology 技术
crystal 晶体
noncrystal 非晶体
monocrystal 单晶体
polycrystal 多晶体
energy 能量
internal_energy 内能
potential_energy 势能
work 功
Newton 牛顿
Watt 瓦特
sodium 钠
alnuminum 铝
phosphorus 磷
sulfur 硫
chlorine 氯
argon 氩
potassium 钾
nitrogen 氮
heron 氦
neon 氖
scandium 钪
titanium 钛
vanadium 钒
chromium 铬
manganese 锰
iron 铁
cobalt 钴
nickel 镍
copper 铜
zinc 锌
gallium 镓
arsenic 砷
germanium 锗
calcium 钙
selenium 硒
calcium_oxide 氧化钙
silicon 硅
bromine 溴
krypton 氪
xeron 氙
carbon 碳
rubidium 铷
strontium 锶
carbon_dioxide 二氧化碳
hydrogen 氢
oxygen 氧
yttrium 钇
zirconium 锆
niobium 铌
molybdenum 钼
technetium 锝
ruthenium 钌
rhodium 铑
palladium 钯
indium 铟
silver 银
cadmium 镉
tin 锡
antimony 锑
tellurium 碲
iodine 碘
cesium 铯
barium 钡
praseodymium 镨
erbium 铒
ytterbium 镱
lutetium 镥
hafnium 铪
tantalum 钽
tungsten 钨
lanthanum 镧
thulium 铥
holmium 钬
dysprosium 镝
rhenium 铼
osmium 锇
iridium 铱
mercury 汞
platinum 铂
gold 金
lead 铅
bismuth 铋
astatine 砹
francium 钫
polonium 钋
radium 镭
radon 氡
uranium 铀
californium 锎
einsteinium 锿
americium 镅
nobelium 锘
water 水
molecule 分子
atomic_nucleus 原子核
oxidation 氧化
dehydration 脱水
metathesis 置换
deoxidization 还原
decomposition 分解
sodium_hydroxide 氢氧化钠
ammonia 氨水
carbonic_acid 碳酸
sodium_carbonate 碳酸钠
calcium_carbonate 碳酸钙
sodium_bicarbonate 碳酸氢钠
sulfuric_acid 硫酸
sulphate 硫酸盐
caicium_sulphate 硫酸钙
zinc_sulfate 硫酸锌
bluestone 胆矾
hydrosulfate 硫酸氢盐
phosphate_acid 磷酸
phosphate 磷酸盐
carbon_monoxide 一氧化碳
nitrous_dioxide 二氧化氮
hydrogen_sulfide 硫化氢
ozone 臭氧
concentration 浓度
solution 溶液
dissolve 溶解
mixture 混合物
titration 滴定
phenolphthalein 酚酞
litmus 石蕊
heavy_water 重水
acarus 王水
trioxide 三氧化物
tetraoxide 四氧化物
pentaoxide 五氧化物
dilute v.稀释
concentrate v.浓缩
saturate v.使饱和
hydrolyze v.水解
neutralization 中和
table_salt 食盐
epoxy 环氧树脂
ethylene 乙烯
polyamide 聚酰胺
polyarylether 聚芳醚
polypropylene 聚丙烯
polyarylsulfone 聚芳砜
alum 明矾
ether 乙醚
ethanol 乙醇
pyruvic_acid 丙酮酸
fructose 果糖
glucose 葡萄糖
sucrose 蔗糖
lactose 乳糖
