device n.设备
text n.文字
string n.字符串
integer n.整数
float n.单精度浮点数
double n.双精度浮点数
decimal n.小数
return v.返回
class n.类
derived adj.派生的
base n.基类
window n.窗口
handle n.句柄
title n.标题
font n.字体
color n.颜色
size n.尺寸
program n.程序
file n.文件
directory n.目录
folder n.文件夹
open v.打开
create v.创建
edit v.编辑
undo v.撤销
redo v.重做
close v.关闭
terminate v.终止
task n.任务
manager n.管理器
register n.注册表；寄存器
editor n.编辑器
compiler n.编译器
set v.设置
get v.获取
library n.库
macro n.宏
header n.头文件
compile v.编译
include v.包含
resource n.资源
log n.日志
search v.搜索
debug v.调试
bug n.漏洞
input v.输入
output v.输出
line n.行
column n.列
plus v.加
minus v.减
multiply v.乘
divide v.除
taskbar n.任务栏
icon n.图标
image n.图片
desktop n.桌面
process n.进程
thread n.线程
lock n.锁
system n.系统
driver n.驱动
drive n.驱动器
push v.推入
pop v.弹出
web n.网络
wire n.网线
server n.服务器
client n.客户
point n.点
coordinate n.坐标
width n.宽度
height n.高度
hook n.钩子
keyboard n.键盘
mouse n.鼠标
suspend v.挂起
resume v.恢复
view n.视图
save v.保存
graph n.图
queue n.队列
stack n.栈
map n.映射
iterate v.迭代
repeat v.重复
function n.函数
value n.值
variable n.变量
constant n.常量
method n.方法
static adj.静态的
dynamic adj.动态的
project n.项目
byte n.字节
bit n.位
screen n.屏幕
pixel n.像素
time n.时间
date n.日期
format n.格式
layout n.布局
link n.链接
chrome n.浏览器
item n.项目
run v.运行
message n.消息
insert v.插入
delete v.删除
select v.选择
analyse v.解析
help n.帮助
blog n.博客
cyber adj.网络的
forum n.论坛
website n.网站
webpage n.网页
forward v.前进
update v.更新
download v.下载
upload v上传
executable 可执行的
execute v.执行
shell v.命令行
command n.命令
clear v.清空
query v.查询
append v.追加
position n.位置
remove v.移除
rename v.重命名
copy v.复制
paste v.粘贴
cut v.剪切
computer n.计算机
length n.长度
public adj.公有的
private adj.私有的
protected adj.受保护的
internal adj.内部的
set n.集合
list n.列表
dictionary n.字典
tuple n.元组
timestamp n.时间戳
sync adj.同步的
async adj.异步的
music n.音乐
sound n.音效
play v.播放；游玩
stop v.停止
pause v.暂停
volume n.卷；容量；体积
menu n.菜单
pen n.画笔
clock n.时钟
notepad n.记事本
mail n.邮件
store n.商店；v.存储
restore v.恢复；还原
constructor n.构造函数
destructor n.析构函数
parent adj.父的；上一级的
group n.组
sleep v.延时
delay v.推迟
find v.查找
in prep.在……里
automatic adj.自动的
abort v.堕胎；终止
active adj.活动的
data n.数据
reverse v.反转
local adj.本地的；局部的
global adj.全局的
interface n.接口
structure n.结构；结构体
readonly adj.只读的
writeonly adj.只写的
access v.访问
visible adj.看得见的
left n.左边
right n.右边
bitmap n.位图
child n.孩子
dispatch v.分发
dialog n.对话框
cursor n.光标
source n.源
destination n.目的地
popup n.弹窗
override v.覆写
overload v.重载
console n.控制台
platform n.平台
contain v.包含
connection n.连接
object n.对象
encrypt v.加密
decrypt v.解密
